fecha,precio_promedio_bolsa_energia
2008-08-20,78.86265304347829
2008-08-21,94.63404434782613
2008-08-22,79.94678347826088
2008-08-23,68.37304434782608
2008-08-24,57.381696521739116
2008-08-25,65.42182695652174
2008-08-26,70.18865304347825
2008-08-27,73.88421826086956
2008-08-28,81.84082695652175
2008-08-29,76.76456608695653
2008-08-30,60.459870434782616
2008-08-31,51.525348695652156
2008-09-01,65.74074739130435
2008-09-02,63.84705173913042
2008-09-03,57.87274739130433
2008-09-04,50.61087782608694
2008-09-05,48.78679086956521
2008-09-06,53.584573478260864
2008-09-07,61.175877826086946
2008-09-08,78.00200826086954
2008-09-09,81.03239956521736
2008-09-10,85.9190952173913
2008-09-11,85.95774739130435
2008-09-12,88.0193995652174
2008-09-13,83.39326913043473
2008-09-14,76.28457347826084
2008-09-15,95.31113869565215
2008-09-16,85.71739956521738
2008-09-17,83.88887782608694
2008-09-18,84.11107217391303
2008-09-19,87.9942256521739
2008-09-20,84.26287782608694
2008-09-21,81.28457347826084
2008-09-22,75.69344304347824
2008-09-23,95.31857347826083
2008-09-24,95.93952999999996
2008-09-25,104.64900826086952
2008-09-26,112.34448652173909
2008-09-27,93.04544304347822
2008-09-28,84.65413869565215
2008-09-29,108.22248652173909
2008-09-30,91.2333560869565
2008-10-01,98.77621695652174
2008-10-02,102.78517347826089
2008-10-03,90.56352130434784
2008-10-04,83.00769521739133
2008-10-05,69.0598691304348
2008-10-06,81.71821695652176
2008-10-07,101.37908652173917
2008-10-08,92.11647782608699
2008-10-09,92.22956478260872
2008-10-10,71.6324343478261
2008-10-11,66.26856478260872
2008-10-12,62.72060826086958
2008-10-13,58.32508652173915
2008-10-14,63.85765173913045
2008-10-15,75.93943434782611
2008-10-16,74.63508652173915
2008-10-17,61.69047782608698
2008-10-18,71.07291260869567
2008-10-19,55.01421695652176
2008-10-20,80.64265173913046
2008-10-21,97.56682565217392
2008-10-22,99.58856478260871
2008-10-23,103.18160826086957
2008-10-24,106.43508652173912
2008-10-25,97.21682565217392
2008-10-26,77.31204304347828
2008-10-27,97.20299956521741
2008-10-28,94.96117347826087
2008-10-29,91.31117347826088
2008-10-30,103.31317347826086
2008-10-31,79.26856478260872
2008-11-01,86.22086913043478
2008-11-02,74.74521695652173
2008-11-03,72.47565173913043
2008-11-04,82.40434739130434
2008-11-05,78.3595647826087
2008-11-06,77.27391260869564
2008-11-07,82.66521695652173
2008-11-08,93.76695608695651
2008-11-09,90.48434739130434
2008-11-10,127.83165173913044
2008-11-11,123.7217386956522
2008-11-12,122.33578217391309
2008-11-13,126.83965173913045
2008-11-14,124.9257386956522
2008-11-15,104.0799995652174
2008-11-16,94.51912999999999
2008-11-17,99.13639086956522
2008-11-18,115.39417347826091
2008-11-19,92.53769521739129
2008-11-20,111.74313000000004
2008-11-21,91.52573869565217
2008-11-22,73.56913
2008-11-23,55.07130391304347
2008-11-24,84.13712999999998
2008-11-25,79.30834739130434
2008-11-26,65.2735647826087
2008-11-27,67.12434739130434
2008-11-28,60.45152130434783
2008-11-29,47.11743434782609
2008-11-30,39.57421695652174
2008-12-01,57.45969173913044
2008-12-02,81.83243086956523
2008-12-03,108.49286565217395
2008-12-04,101.18030043478265
2008-12-05,112.1622134782609
2008-12-06,54.14212652173913
2008-12-07,49.786474347826065
2008-12-08,47.55516999999999
2008-12-09,77.9869091304348
2008-12-10,73.13795260869566
2008-12-11,72.83186565217393
2008-12-12,80.09882217391306
2008-12-13,95.48573521739132
2008-12-14,72.74256130434786
2008-12-15,96.43343086956524
2008-12-16,107.50738739130438
2008-12-17,105.38125695652177
2008-12-18,99.90299608695655
2008-12-19,100.21325695652176
2008-12-20,105.46821347826089
2008-12-21,107.44647434782611
2008-12-22,140.40299608695656
2008-12-23,149.7716917391305
2008-12-24,150.83690913043483
2008-12-25,109.29430043478264
2008-12-26,146.59143086956527
2008-12-27,158.09116999999998
2008-12-28,168.39321347826083
2008-12-29,174.84743086956524
2008-12-30,183.5638656521739
2008-12-31,174.83343086956526
2009-01-01,161.8750234782608
2009-01-02,137.35919739130432
2009-01-03,132.02171913043475
2009-01-04,144.8265017391304
2009-01-05,132.19050173913038
2009-01-06,140.09541478260866
2009-01-07,136.42997999999997
2009-01-08,133.41780608695655
2009-01-09,132.80476260869568
2009-01-10,132.73737130434785
2009-01-11,132.60041478260868
2009-01-12,133.04824086956523
2009-01-13,128.9908495652174
2009-01-14,135.60745826086958
2009-01-15,149.98571913043477
2009-01-16,145.37263217391305
2009-01-17,133.8882408695652
2009-01-18,133.57954521739128
2009-01-19,133.01006695652174
2009-01-20,122.53519739130435
2009-01-21,117.29032782608697
2009-01-22,121.47867565217389
2009-01-23,130.1891104347826
2009-01-24,128.4891104347826
2009-01-25,114.91606695652172
2009-01-26,130.90693652173914
2009-01-27,135.43650173913042
2009-01-28,125.77606695652176
2009-01-29,135.66737130434785
2009-01-30,135.77215391304347
2009-01-31,132.33780608695653
2009-02-01,121.15444434782611
2009-02-02,127.98857478260871
2009-02-03,124.31583565217397
2009-02-04,124.63348782608696
2009-02-05,126.72631391304351
2009-02-06,128.59314000000003
2009-02-07,126.5300530434783
2009-02-08,133.3283573913044
2009-02-09,147.53379217391307
2009-02-10,136.61205304347828
2009-02-11,134.28761826086958
2009-02-12,133.14414000000005
